congress,party,state,district,id,last_name,first_name,aauw,aauw_support_all,aauw_support_voting,author,diff
114,D,AZ,3,G000551,GRIJALVA,RAUL M.,100,89,100,costa,11
114,R,AR,1,C001087,CRAWFORD,RICK,29,22,29,costa,7
114,D,CA,12,P000197,PELOSI,NANCY,89,78,88,costa,10
114,R,CA,49,I000056,ISSA,DARRELL,29,22,29,costa,7
114,D,CA,14,S001175,SPEIER,KAREN LORRAINE JACQUELINE (JACKIE),100,89,100,costa,11
114,D,CA,37,B001270,BASS,KAREN,89,78,88,costa,10
114,D,CA,20,F000030,FARR,SAM,89,78,88,costa,10
114,D,CA,34,B000287,BECERRA,XAVIER,89,78,88,costa,10
114,D,CA,19,L000397,LOFGREN,ZOE,100,89,100,costa,11
114,D,CA,24,C001036,CAPPS,LOIS,100,89,100,costa,11
114,D,CA,5,T000460,THOMPSON,MICHAEL,88,78,88,costa,10
114,D,CT,3,D000216,DELAURO,ROSA L.,100,89,100,costa,11
114,D,FL,9,G000556,GRAYSON,ALAN,100,89,100,costa,11
114,D,FL,20,H000324,HASTINGS,ALCEE LAMAR,88,78,88,costa,10
114,R,GA,3,W000796,WESTMORELAND,LYNN A.,29,22,29,costa,7
114,D,IL,17,B001286,BUSTOS,CHERI,100,89,100,costa,11
114,D,IL,4,G000535,GUTIERREZ,LUIS V.,86,78,100,costa,22
114,D,IL,7,D000096,DAVIS,DANNY K.,100,89,100,costa,11
114,D,IL,9,S001145,SCHAKOWSKY,JANICE D.,100,89,100,costa,11
114,D,IN,7,C001072,CARSON,ANDR_,88,78,88,costa,10
114,R,IN,3,S001188,STUTZMAN,MARLIN,43,33,43,costa,10
114,D,MA,3,T000465,TSONGAS,NICOLA S. (NIKI),86,67,86,costa,19
114,D,MA,9,K000375,KEATING,WILLIAM R.,88,78,88,costa,10
114,D,NJ,10,P000604,PAYNE,"DONALD, JR.",88,67,86,costa,19
114,D,NY,13,R000053,RANGEL,CHARLES B.,100,89,100,costa,11
114,R,NY,27,C001092,COLLINS,CHRIS,29,22,29,costa,7
114,D,NY,5,M001137,MEEKS,GREGORY W.,89,78,88,costa,10
114,D,NC,4,P000523,PRICE,DAVID EUGENE,89,89,100,costa,11
114,D,OR,3,B000574,BLUMENAUER,EARL,100,89,100,costa,11
114,D,PA,1,B001227,BRADY,ROBERT A.,100,89,100,costa,11
114,R,TN,8,F000458,FINCHER,STEPHEN LEE,33,11,20,costa,9
114,D,TX,18,J000032,JACKSON LEE,SHEILA,100,89,100,costa,11
114,D,TX,30,J000126,JOHNSON,EDDIE BERNICE,89,78,88,costa,10
114,D,VT,1,W000800,WELCH,PETER,89,78,88,costa,10
114,D,VA,8,B001292,BEYER,DONALD STERNOFF JR.,100,89,100,costa,11
114,D,WA,1,D000617,DELBENE,SUZAN K.,89,78,88,costa,10
113,R,AK,1,Y000033,YOUNG,NA,50,44,50,costa,6
113,D,CA,11,M000725,MILLER,NA,88,78,88,costa,10
113,D,CA,12,P000197,PELOSI,NA,86,67,86,costa,19
113,D,CA,14,S001175,SPEIER,NA,100,89,100,costa,11
113,R,CA,31,M001139,MILLER,NA,29,22,29,costa,7
113,D,CO,7,P000593,PERLMUTTER,NA,88,78,88,costa,10
113,D,CT,4,H001047,HIMES,NA,100,89,100,costa,11
113,D,DE,1,C001083,CARNEY,NA,88,78,88,costa,10
113,R,FL,10,W000806,WEBSTER,NA,50,44,50,costa,6
113,R,FL,13,Y000031,YOUNG,NA,25,14,20,costa,6
113,D,FL,14,C001066,CASTOR,NA,88,78,88,costa,10
113,D,FL,20,H000324,HASTINGS,NA,100,89,100,costa,11
113,D,FL,23,W000797,WASSERMAN SCHULTZ,NA,100,89,100,costa,11
113,D,IL,4,G000535,GUTIERREZ,NA,100,89,100,costa,11
113,D,IA,1,B001259,BRALEY,BURCE,88,78,88,costa,10
113,D,MA,5,C001101,CLARK,KATHERINE,50,33,50,costa,17
113,D,MA,8,L000562,LYNCH,STEPHEN,88,78,88,costa,10
113,D,NY,4,M000309,MCCARTHY,CAROLYN,83,56,83,costa,27
113,D,NY,13,R000053,RANGEL,CHARLES,100,89,100,costa,11
113,D,OR,3,B000574,BLUMENAUER,EARL,100,89,100,costa,11
113,D,PA,13,S001162,SCHWARTZ,ALLYSON,100,89,100,costa,11
113,D,TX,15,H000636,HINOJOSA,RUB_N,100,78,100,costa,22
113,D,TX,30,J000126,JOHNSON,EDDIE,88,78,88,costa,10
112,D,CA,13,S000810,STARK,"FORTNEY ""PETE""",100,90,100,costa,10
112,D,CA,38,N000179,NAPOLITANO,GRACE,100,90,100,costa,10
112,D,CA,51,F000116,FILNER,BOB,100,80,100,costa,20
112,D,GA,5,L000287,LEWIS,JOHN,89,80,89,costa,9
112,D,IL,4,G000535,GUTIERREZ,LUIS,78,70,78,costa,8
112,D,IA,1,B001259,BRALEY,BRUCE,100,90,100,costa,10
112,D,MA,8,C001037,CAPUANO,MICHAEL,89,80,89,costa,9
112,D,MA,10,K000375,KEATING,WILLIAM,78,90,100,costa,10
112,D,MI,9,P000595,PETERS,GARY,100,90,100,costa,10
112,D,MN,4,M001143,MCCOLLUM,BETTY,100,80,100,costa,20
112,D,NM,1,H001046,HEINRICH,MARTIN,100,90,100,costa,10
112,D,NY,15,R000053,RANGEL,CHARLES,100,80,100,costa,20
112,D,NY,17,E000179,ENGEL,ELIOT,89,80,89,costa,9
112,D,NY,22,H000627,HINCHEY,MAURICE,78,70,78,costa,8
112,D,NY,28,S000480,SLAUGHTER,LOUISE,100,70,100,costa,30
112,D,OR,3,B000574,BLUMENAUER,EARL,100,90,100,costa,10
112,D,PA,14,D000482,DOYLE,MICHAEL,100,90,100,costa,10
112,R,TX,14,P000583,PAUL,RON,38,30,38,costa,8
112,D,TX,15,H000636,HINOJOSA,RUBEN,100,80,100,costa,20
111,D,AR,1,B000420,BERRY,MARION,50,36,50,costa,14
111,D,CA,7,M000725,MILLER,GEORGE,90,82,90,costa,8
111,D,CA,11,M001166,MCNERNEY,JERRY,80,73,80,costa,7
111,D,CA,13,S000810,STARK,FORTNEY,90,82,90,costa,8
111,D,CA,35,W000187,WATERS,MAXINE,80,73,80,costa,7
111,D,CA,43,B001234,BACA,JOE,80,73,80,costa,7
111,D,CT,2,C001069,COURTNEY,JOE,90,82,90,costa,8
111,D,FL,23,H000324,HASTINGS,ALCEE,100,82,100,costa,18
111,D,IL,7,D000096,DAVIS,DANNY,100,91,100,costa,9
111,D,IA,3,B000652,BOSWELL,LEONARD,80,73,80,costa,7
111,D,LA,3,M001161,MELANCON,CHARLIE,56,45,56,costa,11
111,D,MD,2,R000576,RUPPERSBERGER,C.A.,78,64,78,costa,14
111,D,MA,8,C001037,CAPUANO,MICHAEL,90,82,90,costa,8
111,D,MA,10,D000210,DELAHUNT,BILL,80,73,80,costa,7
111,D,MI,14,C000714,CONYERS,JOHN,100,91,100,costa,9
111,D,NM,2,T000466,TEAGUE,HARRY,70,64,70,costa,6
111,D,NY,16,S000248,SERRANO,JOSE,100,91,100,costa,9
111,D,OH,6,W000801,WILSON,CHARLES,70,64,70,costa,6
111,D,OK,2,B001254,BOREN,DAN,44,36,44,costa,8
111,D,OR,3,B000574,BLUMENAUER,EARL,90,82,90,costa,8
111,D,PA,12,M001120,MURTHA,JOHN,63,56,62,costa,6
111,D,SC,6,C000537,CLYBURN,JAMES,80,73,80,costa,7
111,D,TX,15,H000636,HINOJOSA,RUBEN,90,82,90,costa,8
111,D,TX,18,J000032,JACKSON LEE,SHEILA,100,91,100,costa,9
111,D,WA,7,M000404,MCDERMOTT,JIM,100,91,100,costa,9
111,D,WI,4,M001160,MOORE,GWEN,90,82,90,costa,8
110,D,AL,5,C000868,CRAMER,ROBERT (BUD),77,70,78,costa,8
110,R,AK,1,Y000033,YOUNG,DON,75,60,75,costa,15
110,R,CA,45,B001228,BONO,MARY,66,60,67,costa,7
110,D,CA,17,F000030,FARR,SAM,100,90,100,costa,10
110,D,CA,51,F000116,FILNER,BOB,100,90,100,costa,10
110,D,CA,36,H000213,HARMAN,JANE,100,90,100,costa,10
110,D,CA,15,H001034,HONDA,MICHAEL,100,90,100,costa,10
110,D,CA,12,L000090,LANTOS,TOM,100,86,100,costa,14
110,D,CA,16,L000397,LOFGREN,ZOE,100,90,100,costa,10
110,D,CA,7,M000725,MILLER,GEORGE,100,90,100,costa,10
110,D,CA,13,S000810,STARK,FORTNEY PETE,100,80,100,costa,20
110,D,CA,35,W000187,WATERS,MAXINE,100,90,100,costa,10
110,D,CA,6,W000738,WOOLSEY,LYNN,100,80,100,costa,20
110,D,CO,3,S001158,SALAZAR,JOHN,100,90,100,costa,10
110,R,CO,6,T000458,TANCREDO,THOMAS,16,10,17,costa,7
110,R,CT,4,S001144,SHAYS,CHRISTOPHER,100,90,100,costa,10
110,D,FL,2,B000716,BOYD,ALLEN,87,70,88,costa,18
110,D,FL,3,B000911,BROWN,CORRINE,100,90,100,costa,10
110,R,FL,5,B001247,BROWN-WAITE,GINNY,66,60,67,costa,7
110,D,GA,8,M001146,MARSHALL,JIM,100,90,100,costa,10
110,R,IL,14,H000323,HASTERT,J. DENNIS,25,17,25,costa,8
110,R,IL,18,L000552,LAHOOD,RAY,77,70,78,costa,8
110,D,IN,8,E000289,ELLSWORTH,BRAD,77,70,78,costa,8
110,D,IN,9,H001030,HILL,BARON,100,90,100,costa,10
110,D,IN,1,V000108,VISCLOSKY,PETER,100,90,100,costa,10
110,R,KS,4,T000260,TIAHRT,TODD,37,30,38,costa,8
110,R,LA,1,J000287,JINDAL,BOBBY,50,33,50,costa,17
110,R,MD,1,G000180,GILCHREST,WAYNE,100,70,100,costa,30
110,D,MD,2,R000576,RUPPERSBERGER,C.A. DUTCH,100,90,100,costa,10
110,D,MI,13,K000180,KILPATRICK,CAROLYN,100,90,100,costa,10
110,R,NV,3,P000589,PORTER,JON,66,60,67,costa,7
110,R,NM,1,W000789,WILSON,HEATHER,66,60,67,costa,7
110,D,NY,17,E000179,ENGEL,ELIOT,100,90,100,costa,10
110,D,NY,18,L000480,LOWEY,NITA,100,90,100,costa,10
110,D,NY,6,M001137,MEEKS,GREGORY,100,90,100,costa,10
110,D,NY,28,S000480,SLAUGHTER,LOUISE MCINTOSH,100,90,100,costa,10
110,R,NY,25,W000099,WALSH,JAMES,55,50,56,costa,6
110,D,OH,11,J000284,JONES,STEPHANIE TUBBS,100,90,100,costa,10
110,R,OH,3,T000463,TURNER,MICHAEL,66,60,67,costa,7
110,D,OR,5,H000762,HOOLEY,DARLENE,100,90,100,costa,10
110,D,PA,14,D000482,DOYLE,MICHAEL,100,90,100,costa,10
110,D,TN,8,T000038,TANNER,JOHN,100,80,100,costa,20
110,D,TX,25,D000399,DOGGETT,LLOYD,100,90,100,costa,10
110,D,TX,17,E000063,EDWARDS,CHET,100,90,100,costa,10
110,D,TX,29,G000410,GREEN,GENE,100,90,100,costa,10
110,D,TX,30,J000126,JOHNSON,EDDIE BERNICE,100,90,100,costa,10
110,R,TX,3,J000174,JOHNSON,SAM,28,20,29,costa,9
110,D,TX,22,L000043,LAMPSON,NICK,88,80,89,costa,9
110,D,TX,27,O000107,ORTIZ,SOLOMON,88,80,89,costa,9
110,D,TX,16,R000170,REYES,SILVESTRE,100,90,100,costa,10
110,R,TX,21,S000583,SMITH,LAMAR,55,50,56,costa,6
110,R,VA,1,D000597,DAVIS,JO ANN,100,17,100,costa,83
110,R,VA,11,D000136,DAVIS,TOM,55,50,56,costa,6
110,R,VA,10,W000672,WOLF,FRANK,55,50,56,costa,6
110,D,WA,6,D000327,DICKS,NORMAN,100,80,100,costa,20
110,D,WA,1,I000026,INSLEE,JAY,100,80,100,costa,20
110,D,WA,7,M000404,MCDERMOTT,JIM,100,90,100,costa,10
110,R,WA,8,R000578,REICHERT,DAVID,77,70,78,costa,8
110,R,WY,1,C000962,CUBIN,BARBARA,16,10,17,costa,7
105,D,NY,5,A000022,ACKERMAN,GARY L.,88,88,100,washington,12
105,D,VA,9,B000657,BOUCHER,FREDERICK C.,88,88,100,washington,12
105,D,IN,10,C000191,CARSON,JULIA M.,88,88,100,washington,12
105,D,MI,16,D000355,DINGELL,JOHN DAVID JR.,63,62,83,washington,21
105,D,PA,18,D000482,DOYLE,MICHAEL F.,50,50,67,washington,17
105,D,PA,2,F000043,FATTAH,CHAKA,88,88,100,washington,12
105,D,PA,1,F000235,FOGLIETTA,THOMAS M.,60,75,100,washington,25
105,D,TN,9,F000262,FORD,HAROLD JR.,100,88,100,washington,12
105,D,TX,24,F000392,FROST,JONAS MARTIN III,88,88,100,washington,12
105,D,TN,6,G000309,GORDON,BART J.,75,75,86,washington,11
105,D,IN,9,H000114,HAMILTON,LEE H.,63,62,71,washington,9
105,D,FL,23,H000324,HASTINGS,ALCEE L.,88,88,100,washington,12
105,D,PA,6,H000712,HOLDEN,TIM,50,50,57,washington,7
105,R,NY,31,H000814,HOUGHTON,AMORY JR.,75,75,86,washington,11
105,D,LA,2,J000070,JEFFERSON,WILLIAM J.,75,75,86,washington,11
105,D,RI,1,K000113,KENNEDY,PATRICK J.,75,75,86,washington,11
105,R,WI,2,K000274,KLUG,SCOTT L.,50,50,57,washington,7
105,D,NY,29,L000556,LAFALCE,JOHN,50,50,57,washington,7
105,D,GA,5,L000287,LEWIS,JOHN,100,88,100,washington,12
105,D,MA,7,M000133,MARKEY,EDWARD J.,88,75,100,washington,25
105,D,NC,7,M000485,MCINTYRE,MIKE,50,50,57,washington,7
105,D,NY,21,M000590,MCNULTY,MICHAEL R.,50,50,67,washington,17
105,D,NJ,13,M000639,MENENDEZ,ROBERT,88,88,100,washington,12
105,D,WV,1,M000844,MOLLOHAN,ALAN B.,50,50,57,washington,7
105,D,NY,8,N000002,NADLER,JERROLD,88,88,100,washington,12
105,D,NJ,10,P000149,PAYNE,DONALD M.,100,75,100,washington,25
105,D,NY,15,R000053,RANGEL,CHARLES,88,88,100,washington,12
105,D,NY,16,S000248,SERRANO,JOSE E.,100,88,100,washington,12
105,D,CO,2,S000462,SKAGGS,DAVID E.,88,88,100,washington,12
105,D,NY,28,S000480,SLAUGHTER,LOUISE M.,75,75,100,washington,25
105,D,MI,8,S000770,STABENOW,DEBORAH ANN,88,88,100,washington,12
105,D,NY,10,T000326,TOWNS,EDOLPHUS,88,88,100,washington,12
105,D,IN,1,V000108,VISCLOSKY,PETER J.,75,75,86,washington,11
105,D,CA,35,W000187,WATERS,MAXINE,100,88,100,washington,12
105,D,IL,9,Y000013,YATES,SIDNEY RICHARD,88,88,100,washington,12
106,D,CA,26,B000410,BERMAN,HOWARD L.,87,88,100,washington,12
106,R,CA,15,C000100,CAMPBELL,TOM,25,25,33,washington,8
106,D,MO,1,C000488,CLAY,WILLIAM,87,88,100,washington,12
106,D,MD,7,C000984,CUMMINGS,ELIJAH E.,87,88,100,washington,12
106,R,NY,1,F000257,FORBES,MICHAEL P.,50,50,57,washington,7
106,D,TN,9,F000262,FORD,HAROLD JR.,75,75,86,washington,11
106,R,NJ,7,F000349,FRANKS,ROBERT,50,50,57,washington,7
106,D,IL,4,G000535,GUTIERREZ,LUIS V.,87,88,100,washington,12
106,D,OH,3,H000074,HALL,TONY PATRICK,50,50,57,washington,7
106,D,FL,23,H000324,HASTINGS,ALCEE L.,87,88,100,washington,12
106,D,LA,2,J000070,JEFFERSON,WILLIAM J.,37,38,75,washington,37
106,D,OH,9,K000009,KAPTUR,MARCIA,62,62,83,washington,21
106,D,TX,18,J000032,JACKSON LEE,SHEILA,75,75,100,washington,25
106,D,GA,5,L000287,LEWIS,JOHN,75,75,100,washington,25
106,D,IL,3,L000342,LIPINSKI,WILLIAM O.,25,25,40,washington,15
106,D,PA,20,M000212,MASCARA,FRANK R.,50,50,57,washington,7
106,D,NY,4,M000309,MCCARTHY,CAROLYN,62,62,100,washington,38
106,D,MO,5,M000316,MCCARTHY,KAREN,75,75,100,washington,25
106,D,NY,21,M000590,MCNULTY,MICHAEL R.,62,62,71,washington,9
106,D,MA,5,M000627,MEEHAN,MARTIN T.,87,88,100,washington,12
106,D,PA,12,M001120,MURTHA,JOHN P.,50,50,57,washington,7
106,R,NY,30,Q000016,QUINN,JACK,62,62,71,washington,9
106,D,NY,15,R000053,RANGEL,CHARLES,87,88,100,washington,12
106,D,IL,1,R000515,RUSH,BOBBY L.,87,88,100,washington,12
106,D,OH,14,S000094,SAWYER,THOMAS C. (TOM),87,88,100,washington,12
106,D,WA,9,S000510,SMITH,ADAM,87,88,100,washington,12
106,D,MI,1,S001045,STUPAK,BART,62,62,71,washington,9
106,D,NY,10,T000326,TOWNS,EDOLPHUS,87,88,100,washington,12
106,D,TX,2,T000424,TURNER,JAMES W.,75,75,86,washington,11
106,D,NM,3,U000039,UDALL,TOM,87,88,100,washington,12
106,D,NY,12,V000081,VELAZQUEZ,NYDIA M.,87,88,100,washington,12
106,D,MN,4,V000087,VENTO,BRUCE,62,62,100,washington,38
107,D,MI,10,B000619,BONIOR,DAVID E.,82,82,90,washington,8
107,D,MO,1,C001049,CLAY,WILLIAM JR.,91,91,100,washington,9
107,D,TN,5,C000503,CLEMENT,ROBERT N.,73,73,80,washington,7
107,D,SC,6,C000537,CLYBURN,JAMES E.,91,91,100,washington,9
107,D,CA,18,C000670,CONDIT,GARY A.,73,73,80,washington,7
107,D,MI,16,D000355,DINGELL,JOHN DAVID JR.,82,82,90,washington,8
107,D,NY,17,E000179,ENGEL,ELIOT L.,91,91,100,washington,9
107,D,TX,20,G000544,GONZALEZ,CHARLES A.,100,91,100,washington,9
107,D,FL,23,H000324,HASTINGS,ALCEE L.,100,91,100,washington,9
107,D,IN,9,H001030,HILL,BARON PAUL,73,73,80,washington,7
107,D,OR,5,H000762,HOOLEY,DARLENE KAY,100,91,100,washington,9
107,D,LA,7,J000110,JOHN,CHRIS,45,45,56,washington,11
107,D,OH,11,J000284,JONES,STEPHANIE TUBBS,100,91,100,washington,9
107,D,RI,1,K000113,KENNEDY,PATRICK J.,91,82,90,washington,8
107,D,OH,10,K000336,KUCINICH,DENNIS J.,73,73,80,washington,7
107,D,TX,9,L000043,LAMPSON,NICHOLAS U.,82,82,90,washington,8
107,D,GA,5,L000287,LEWIS,JOHN,91,91,100,washington,9
107,D,GA,4,M000523,MCKINNEY,CYNTHIA ANN,91,91,100,washington,9
107,D,CA,37,M000714,MILLENDER-MCDONALD,JUANITA,91,91,100,washington,9
107,D,MA,9,M000834,MOAKLEY,JOHN,9,25,100,washington,75
107,D,TX,16,R000170,REYES,SILVESTRE,73,73,80,washington,7
107,D,MI,13,R000281,RIVERS,LYNN N.,91,91,100,washington,9
107,D,CA,31,S001153,SOLIS,HILDA L.,100,91,100,washington,9
107,D,TN,8,T000038,TANNER,JOHN S.,55,55,75,washington,20
107,D,CA,1,T000460,THOMPSON,MIKE,100,91,100,washington,9
107,D,IN,1,V000108,VISCLOSKY,PETER J.,73,73,89,washington,16
107,D,CA,32,W000794,WATSON,DIANE,55,86,100,washington,14
107,D,CA,29,W000215,WAXMAN,HENRY A.,91,91,100,washington,9
108,D,HI,1,A000014,ABERCROMBIE,NEIL,88,75,86,washington,11
108,D,NY,5,A000022,ACKERMAN,GARY L.,75,62,83,washington,21
108,D,ME,1,A000357,ALLEN,THOMAS H.,88,75,86,washington,11
108,D,TX,25,B001241,BELL,CHRIS,88,88,100,washington,12
108,D,NV,1,B001231,BERKLEY,SHELLEY,88,75,86,washington,11
108,D,CA,28,B000410,BERMAN,HOWARD L.,88,75,86,washington,11
108,D,OR,3,B000574,BLUMENAUER,EARL,88,75,86,washington,11
108,R,NY,24,B000586,BOEHLERT,SHERWOOD L.,62,50,57,washington,7
108,R,NC,5,B001135,BURR,RICHARD M.,12,25,33,washington,8
108,D,MA,8,C001037,CAPUANO,MICHAEL E.,88,75,86,washington,11
108,R,WY,1,C000962,CUBIN,BARBARA,0,12,20,washington,8
108,D,FL,11,D000114,DAVIS,JIM,88,75,86,washington,11
108,D,TN,4,D000599,DAVIS,LINCOLN,38,50,57,washington,7
108,D,CO,1,D000197,DEGETTE,DIANA L.,88,75,86,washington,11
108,D,MA,10,D000210,DELAHUNT,WILLIAM D.,88,75,86,washington,11
108,D,TX,10,D000399,DOGGETT,LLOYD,88,88,100,washington,12
108,D,CA,20,D000424,DOOLEY,CALVIN,88,75,86,washington,11
108,D,CA,14,E000215,ESHOO,ANNA G.,88,75,86,washington,11
108,D,PA,2,F000043,FATTAH,CHAKA,75,62,83,washington,21
108,R,NJ,7,F000443,FERGUSON,MICHAEL A.,12,25,33,washington,8
108,R,FL,16,F000238,FOLEY,MARK,38,50,57,washington,7
108,D,TN,9,F000262,FORD,HAROLD JR.,62,50,67,washington,17
108,D,MO,3,G000132,GEPHARDT,RICHARD,50,38,75,washington,37
108,D,IL,4,G000535,GUTIERREZ,LUIS V.,75,62,83,washington,21
108,D,FL,23,H000324,HASTINGS,ALCEE L.,88,75,86,washington,11
108,D,PA,13,H001031,HOEFFEL,JOSEPH M.,88,75,86,washington,11
108,D,CA,15,H001034,HONDA,MIKE,75,75,100,washington,25
108,D,LA,2,J000070,JEFFERSON,WILLIAM J.,88,75,86,washington,11
108,D,LA,7,J000110,JOHN,CHRIS,25,38,50,washington,12
108,D,OH,11,J000284,JONES,STEPHANIE TUBBS,88,75,86,washington,11
108,D,WI,4,K000259,KLECZKA,GERALD,88,88,100,washington,12
108,D,OH,10,K000336,KUCINICH,DENNIS J.,74,75,100,washington,25
108,D,CA,12,L000090,LANTOS,TOM,88,88,100,washington,12
108,R,IA,2,L000169,LEACH,JAMES,62,50,67,washington,17
108,D,CA,16,L000397,LOFGREN,ZOE,88,75,86,washington,11
108,D,GA,4,M001145,MAJETTE,DENISE L.,88,75,86,washington,11
108,D,NY,6,M001137,MEEKS,GREGORY W.,75,75,100,washington,25
108,D,NJ,13,M000639,MENENDEZ,ROBERT,88,88,100,washington,12
108,D,CA,37,M000714,MILLENDER-MCDONALD,JUANITA,75,75,100,washington,25
108,D,WV,1,M000844,MOLLOHAN,ALAN B.,50,62,71,washington,9
108,D,VA,8,M000933,MORAN,JAMES P. JR.,88,75,86,washington,11
108,D,PA,12,M001120,MURTHA,JOHN P.,38,50,67,washington,17
108,D,MA,1,O000085,OLVER,JOHN W.,88,88,100,washington,12
108,D,NJ,8,P000096,PASCRELL,WILLIAM J.,88,75,86,washington,11
108,D,AZ,4,P000099,PASTOR,ED,88,75,86,washington,11
108,D,NJ,10,P000149,PAYNE,DONALD M.,75,62,83,washington,21
108,D,NY,15,R000053,RANGEL,CHARLES,88,75,86,washington,11
108,D,TX,28,R000568,RODRIGUEZ,CIRO D.,88,75,86,washington,11
108,D,CA,34,R000486,ROYBAL-ALLARD,LUCILLE,88,75,86,washington,11
108,D,CA,39,S001156,SANCHEZ,LINDA T.,88,75,86,washington,11
108,D,CA,47,S000030,SANCHEZ,LORETTA,88,75,86,washington,11
108,I,VT,1,S000033,SANDERS,BERNARD,100,75,86,washington,11
108,D,WA,9,S000510,SMITH,ADAM,88,75,86,washington,11
108,D,CA,30,W000215,WAXMAN,HENRY A.,75,62,83,washington,21
108,D,CA,6,W000738,WOOLSEY,LYNN,88,75,86,washington,11
